pregunta,1_totalmente_en_desacuerdo,2_en_desacuerdo,3_neutral,4_de_acuerdo,5_totalmente_de_acuerdo
Sé cómo navegar la herramienta.Selecciona,2,2,0,12,10
"Entiendo el propósito de cada sección de la app (""¿Qué son las Ciencias del Comportamiento?"", ""Diseña tu Intervención Comportamental"", ""Registra el impacto de tu intervención"").Selecciona",1,4,0,11,12
Los términos usados en la Power App que son nuevos para mí los entiendo con facilidad.Selecciona,2,2,0,10,12
Puedo asociar el contenido teórico de la Power App con los retos que tengo en mi rol   .Selecciona,2,2,0,11,10
"Las herramientas prácticas que te permiten diligenciar campos e interactuar con la app en la sección de ""Diseña tu Intervención Comportamental"" facilitan diseñar intervenciones..Selecciona",2,2,0,12,9
Siento que la app puede ser mi herramienta principal para realizar una intervención comportamental  .Selecciona,2,3,0,12,7
Usar esta herramienta me motiva a aplicar Ciencias del Comportamiento en mis proyectos..Selecciona,2,3,0,9,13
Considero que la herramienta mejora/facilita la aplicación de Ciencias del Comportamiento.Selecciona,2,3,0,11,11
La usaría en futuras iniciativas. .Selecciona,2,3,0,9,13
Comparto con otras personas conocimientos encontrados en la herramienta .Selecciona,3,3,0,14,5
Considero que esta App puede ser útil incluso para colaboradores que no han tenido espacios con B-Lab..Selecciona,3,3,0,9,12
